"asv_id","count","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV5517",8,95.349,"Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris",NA
"ASV5321",9,99.5835,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae",NA,NA
"ASV5512",8,100,"Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Chrysobothris","Chrysobothris sp. CA14_31.01"
"ASV5332",9,88.2676666666667,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV5457",8,88.8685,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV5459",8,100,"Metazoa","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,"Harpacticoida sp. 10BIOBC-01226"
"ASV5515",8,100,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Dichaetophora","Dichaetophora cyanea"
"ASV5310",9,100,"Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Allobracon","Allobracon sp."
"ASV5343",9,89.908,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV5543",8,87.179,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV5610",8,87.143,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV5722",8,99.9576666666667,"Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea",NA
"ASV5660",8,89.773,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV5836",8,87.261,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV5606",8,90.244,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV5783",8,93.103,"Metazoa","Arthropoda","Chilopoda","Scolopendromorpha","Cryptopidae",NA,NA
"ASV5815",8,89.286,"Metazoa","Arthropoda","Branchiopoda",NA,NA,NA,NA
"ASV5824",8,93.617,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae",NA,NA
"ASV5720",8,90.278,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV5728",8,95.745,"Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Latrodectus",NA
"ASV5558",8,88.4775,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV5597",8,91.011,"Metazoa","Arthropoda","Malacostraca","Isopoda",NA,NA,NA
"ASV5663",8,100,"Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,"Cecidomyiidae sp. SSPAC461-13"
"ASV5934",7,90.909,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6042",7,89.231,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6098",7,88.5953333333333,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6171",7,100,"Metazoa","Arthropoda","Insecta","Hemiptera","Aradidae","Brachyrhynchus","Brachyrhynchus membranaceus"
"ASV6157",7,97.727,"Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Zale","Zale declarans"
"ASV5988",7,95.556,"Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,NA
